# Instantané Mémoire : nombre d'illustrations POP par notice Mérimée.
# Généré par `python -m merimee_etl.memoire`, jamais à la main.
# Un nombre, pas une image : ces photographies sont sous droits réservés.
reference,images
PA00078621,25
PA00078622,68
PA00078623,8
PA00078631,2
PA00078632,1
PA00078633,1
PA00078634,2
PA00078635,1
PA00078636,2
PA00078637,1
PA00078638,2
PA00078639,1
PA00078641,1
PA00078642,1
PA00078648,2
PA00078651,2
PA00078653,11
PA00078654,10
PA00078655,1
PA00078656,8
PA00078657,6
PA00078658,5
PA00078659,15
PA00078660,6
PA00078661,9
PA00078662,10
PA00078663,1
PA00078664,16
PA00078665,6
PA00078666,6
PA00078667,4
PA00078669,7
PA00078671,10
PA00078673,3
PA00078674,20
PA00078675,14
PA00078676,22
PA00078677,13
PA00078678,12
PA00078679,3
PA00078681,3
PA00078682,7
PA00078683,10
PA00078684,31
PA00078686,17
PA00078687,20
PA00078688,10
PA00078689,27
PA00078690,8
PA00078691,17
PA00078692,6
PA00078693,3
PA00078695,24
PA00078696,13
PA00078697,24
PA00078698,4
PA00078699,2
PA00078702,150
PA00078703,14
PA00078704,8
PA00078706,5
PA00078707,13
PA00078708,5
PA00078709,20
PA00078710,16
PA00078711,16
PA00078713,11
PA00078714,4
PA00078715,10
PA00078716,8
PA00078717,44
PA00078718,4
PA00078719,11
PA00078720,27
PA00078721,7
PA00078722,29
PA00078724,13
PA00078725,19
PA00078726,3
PA00078727,2
PA00078728,21
PA00078729,12
PA00078730,4
PA00078731,60
PA00078732,5
PA00078733,7
PA00078734,7
PA00078736,3
PA00078737,94
PA00078738,3
PA00078739,28
PA00078740,27
PA00078741,6
PA00078742,8
PA00078743,22
PA00078744,7
PA00078745,8
PA00078746,8
PA00078747,34
PA00078748,74
PA00078749,6
PA00078750,21
PA00078751,2
PA00078752,17
PA00078754,10
PA00078755,109
PA00078757,21
PA00078758,40
PA00078759,8
PA00078760,17
PA00078761,24
PA00078762,5
PA00078764,3
PA00078765,10
PA00078766,16
PA00078767,20
PA00078768,2
PA00078769,10
PA00078770,15
PA00078771,7
PA00078772,25
PA00078773,126
PA00078774,365
PA00078775,6
PA00078776,10697
PA00078777,7
PA00078779,133
PA00078780,21
PA00078781,8
