# Instantané Wikimedia Commons : fichiers dont la page cite la référence Mérimée.
# Généré par `python -m merimee_etl.commons`, jamais à la main.
# Complète `wikidata_images.csv` ; ce n'est pas une décision éditoriale.
reference,fichier
PA00093603,Castle of St-Chamant (1).jpg
PA00093603,Castle of St-Chamant (3).jpg
PA00093603,Castle of St-Chamant (5).jpg
PA00093619,Saint-Flour place d'Armes 5.jpg
PA00093679,Maison rue des Templiers à Salers (15) - 01.jpg
PA00093709,Granite wayside cross in Vebret (2).jpg
PA00093709,Granite wayside cross in Vebret (3).jpg
PA00093709,Granite wayside cross in Vebret (5).jpg
PA00094347,Arma Christi cross in Gratens (1).jpg
PA00094894,Castle of Pouylebon (1).jpg
PA00094949,Timber framed houses in Tillac (10).jpg
PA00094949,Timber framed houses in Tillac (4).jpg
PA00094949,Timber framed houses in Tillac (7).jpg
PA00095032,Cajarc chapelle des mariniers.jpg
PA00095330,Tumulus l'Estaque (cne d'Avezac-Prat-Lahitte).jpg
PA00095439,Square tower in Trie-sur-Baise (1).jpg
PA00095439,Square tower in Trie-sur-Baise (2).jpg
PA00095632,81240 SAINT ANDRE 1.jpg
PA00095821,82121 MONTAUBAN 1 (3)N°10 20.jpg
PA00095828,82121 MONTAUBAN 1 (4) N020 30.jpg
PA00096807,Dolmen dit La Pierre Levée ou La Grosse Pierre - Graçay - Médiathèque de l'architecture et du patrimoine - APMH00008309.jpg
PA00096872,Eglise Saint-Laurent - Sagonne - Médiathèque de l'architecture et du patrimoine - APMH00021939.jpg
PA00096872,Eglise Saint-Laurent - Sagonne - Médiathèque de l'architecture et du patrimoine - APMH00021940.jpg
PA00096872,Eglise Saint-Laurent - Vue intérieure du choeur - Sagonne - Médiathèque de l'architecture et du patrimoine - APMH00021718.jpg
PA00096887,Eglise Saint-Paul - Portail de la façade ouest - Saint-Georges-de-Poisieux - Médiathèque de l'architecture et du patrimoine - APMH00021693.jpg
PA00096964,Église Saint-Pierre-et-Saint-Paul d'Armenonville le 9 septembre 2015 - 01.jpg
PA00096964,Église Saint-Pierre-et-Saint-Paul d'Armenonville le 9 septembre 2015 - 08.jpg
PA00096964,Église Saint-Pierre-et-Saint-Paul d'Armenonville le 9 septembre 2015 - 12.jpg
PA00097031,Châteaudun - police municipale (01).jpg
PA00097035,Châteaudun - place du 18-Octobre (02).jpg
PA00097036,Châteaudun - place du 18-Octobre (02).jpg
PA00097036,Châteaudun - place du 18-Octobre (03).jpg
PA00097037,Châteaudun - place du 18-Octobre (02).jpg
PA00097037,Châteaudun - place du 18-Octobre (03).jpg
PA00097038,Châteaudun - place du 18-Octobre (02).jpg
PA00097038,Châteaudun - place du 18-Octobre (03).jpg
PA00097039,Châteaudun - place du 18-Octobre (02).jpg
PA00097039,Châteaudun - place du 18-Octobre (03).jpg
PA00097040,Châteaudun - place du 18-Octobre (02).jpg
PA00097040,Châteaudun - place du 18-Octobre (04).jpg
PA00097043,Châteaudun - place du 18-Octobre (05).jpg
PA00097044,Châteaudun - place du 18-Octobre (06).jpg
PA00097045,Châteaudun - place du 18-Octobre (06).jpg
PA00097046,Châteaudun - place du 18-Octobre (06).jpg
PA00097047,Châteaudun - place du 18-Octobre (07).jpg
PA00097048,Châteaudun - place du 18-Octobre (07).jpg
PA00097049,Châteaudun - place du 18-Octobre (08).jpg
PA00097050,Châteaudun - place du 18-Octobre (08).jpg
PA00097051,Châteaudun - place du 18-Octobre (08).jpg
PA00097052,Châteaudun - place du 18-Octobre (11).jpg
PA00097056,Châteaudun - place du 18-Octobre (14).jpg
PA00097056,Châteaudun - place du 18-Octobre (15).jpg
PA00097057,Châteaudun - place du 18-Octobre (15).jpg
PA00097058,Châteaudun - place du 18-Octobre (15).jpg
PA00097059,Châteaudun - place du 18-Octobre (15).jpg
PA00097060,Châteaudun - place du 18-Octobre (15).jpg
PA00097061,Châteaudun - place du 18-Octobre (15).jpg
PA00097160,Montigny-Le-Gannelon Porte Roland Maison des Gardes.jpg
PA00097272,Menhir dit la Pierre Levée de Boisy ou de Bellevue - Vue d'ensemble - Saumur - Médiathèque de l'architecture et du patrimoine - APMH00004938.jpg
PA00097327,Manoir de Marteau-2.jpg
PA00097337,Déols - 29 rue du Pont-Perrin.jpg
PA00097415,Dolmen dit de Chardy - Vue d'ensemble - Orsennes - Médiathèque de l'architecture et du patrimoine - APMH00004993.jpg
PA00097456,Théâtre Argentomagus.jpg
PA00097480,L'église de Vendœuvres.jpg
PA00097481,Château - Cour - galerie d'arcades - Veuil - Médiathèque de l'architecture et du patrimoine - APMH00003380.jpg
PA00097481,Château - Cour - vue intérieure de la galerie - Veuil - Médiathèque de l'architecture et du patrimoine - APMH00003379.jpg
PA00097481,Château - Façade sur les fossés et tour d'angle - Veuil - Médiathèque de l'architecture et du patrimoine - APMH00003378.jpg
PA00097498,Valençay - rendez-vous de chasse de la Garenne 01.jpg
PA00097498,Valençay - rendez-vous de chasse de la Garenne 02.jpg
PA00097498,Valençay - rendez-vous de chasse de la Garenne 03.jpg
PA00097611,Candes-Saint-Martin maison canoniale 2-4 rue Mairie.jpg
PA00098104,Savonnières - Manoir Plessis.jpg
PA00098201,Tours - Rue Manceau.jpg
PA00098382,Maison en pans de bois - Façade sur rue - Blois - Médiathèque de l'architecture et du patrimoine - APMH00004355A.jpg
PA00098382,Maison en pans de bois - Façade sur rue - Blois - Médiathèque de l'architecture et du patrimoine - APMH00004355B.jpg
PA00098423,Abbaye de Cornilly (ancienne) - Chapelle - Contres - Médiathèque de l'architecture et du patrimoine - APMH00010039.jpg
PA00098423,Abbaye de Cornilly (ancienne) - Côté sud - Contres - Médiathèque de l'architecture et du patrimoine - APMH00010034.jpg
PA00098423,Abbaye de Cornilly (ancienne) - Galerie en bois - Contres - Médiathèque de l'architecture et du patrimoine - APMH00010038.jpg
PA00098475,"Manoir de Beauregard - Vue d'ensemble, côté tour - Méhers - Médiathèque de l'architecture et du patrimoine - APMH00001701.jpg"
PA00098494,Fortifications de ville (vestiges) appelées les Vieilles Prisons - Vue d'ensemble - Mondoubleau - Médiathèque de l'architecture et du patrimoine - APMH00004393.jpg
PA00098523,Château de la Morinière - Vue d'ensemble avec le pavillon d'angle - Mur-de-Sologne - Médiathèque de l'architecture et du patrimoine - APMH00004375.jpg
PA00098535,Polissoir - Vue d'ensemble - Nourray - Médiathèque de l'architecture et du patrimoine - APMH00005013.jpg
PA00098570,Portal of the Hotel de la Prevote in Saint-Aignan.jpg
PA00098834,Olivet - château du Rondon.jpg
PA00098993,Croix de cimetière - Vue d'ensemble - Puiseaux - Médiathèque de l'architecture et du patrimoine - APMH00002266.jpg
PA00099148,Carrière romaine Cavallo.jpg
PA00099406,EVREUX GOMEL FRAD027 6NUM 3PL1106 0045 E.jpg
PA00099442,Guiseniers - Arche ancienne.JPG
PA00099726,Collonges-la-rouge mairie pradigue.JPG
PA00099739,02-23 Collonges la Rouge - maison PA00099739.jpg
PA00099977,Drouillat - Corps de ferme.jpg
PA00100020,Le pont roman sur la petite Creuse. Boussac.jpg
PA00100057,Франции 16.jpg
PA00100057,Франции 17.jpg
PA00100057,Франции 22.jpg
PA00100130,Dolmen de l’oppidum de châteauvieux. Juillet 2021.jpg
PA00100130,Rocher de la Vierge. Oppidum de Châteauvieux. Décembre 2020.jpg
PA00100308,"Maison Romanet, Eymoutiers.jpg"
PA00100373,LIMOGES COUR DU TEMPLE (1).jpg
PA00100373,LIMOGES COUR DU TEMPLE (2).jpg
PA00100373,LIMOGES VERS LA COUR DU TEMPLE.jpg
PA00100437,Sainte-Anne-Saint-Priest.jpg
PA00100481,Tour d'Echizadour (1).jpg
PA00100481,Tour d'Echizadour (2).jpg
PA00100507,Chateau-pennevayre-verneuil.jpg
PA00100532,Sépulture de François-Guillaume-Eugène CHATARD de FARGEAS - Cimetière Montmartre.jpg
PA00100793,Chapelle Saint-Julien de Petit-Quevilly2.JPG
PA00100902,48 rue aux Ours à Rouen. Une des rares demeures de cette rue qui ne soit pas à pans de bois.jpg
PA00100902,48 rue aux Ours à Rouen.jpg
PA00100903,49-51 rue aux Ours à Rouen.jpg
PA00100911,"Immeuble 6, rue Saint-Romain.jpg"
PA00100958,139 rue du Gros Horloge à Rouen.jpg
PA00100958,141 rue du Gros Horloge à Rouen.jpg
PA00100960,Rouen - rue du Gros-Horloge 03.jpg
PA00100965,Rouen - rue du Gros-Horloge 04.jpg
PA00101078,Bois des Moutiers 2017 04.jpg
PA00101078,Domaine du Bois des Moutiers - Façade et jardin.jpg
PA00101078,Le Bois des Moutiers 3.jpg
PA00101120,ROUEN AITRE SAINT MACLOU (7) 01.jpg
PA00101120,ROUEN AITRE SAINT MACLOU (7) 02.jpg
PA00101253,Eglise - Abside et clocher - Marigny - Médiathèque de l'architecture et du patrimoine - APMH00027048.jpg
PA00101253,"Eglise - Clocher, côté sud-est - Marigny - Médiathèque de l'architecture et du patrimoine - APMH00001682.jpg"
PA00101253,Eglise - Ensemble nord-ouest - Marigny - Médiathèque de l'architecture et du patrimoine - APMH00001683.jpg
PA00101347,Vue générale de Juillac.png
PA00101376,"Eglise - Clocher, côté nord - Tallud (Le) - Médiathèque de l'architecture et du patrimoine - APMH00031141.jpg"
PA00101376,"Eglise - Clocher, côté sud - Tallud (Le) - Médiathèque de l'architecture et du patrimoine - APMH00031142.jpg"
PA00101403,Pigeonnier du Pruneau à Bessines.jpg
PA00101415,Breuil Malicorne.JPG
PA00101747,Maison 3 rue Saint-Martin (1).jpg
PA00101747,Maison 3 rue Saint-Martin (2).jpg
PA00101747,Maison 3 rue Saint-Martin (3).jpg
PA00102033,20170807 225 salins-les-bains.jpg
PA00102072,Crois pâté Frasne 4.jpg
PA00102131,Tour des Annonciades Champlitte.JPG
PA00102190,13 rue Menans in Gy (1).jpg
PA00102190,13 rue Menans in Gy (2).jpg
PA00102190,13 rue Menans in Gy (3).jpg
PA00102788,Amphithéâtre gallo-romain de Narbonne001.JPG
PA00102788,Amphithéâtre gallo-romain de Narbonne008.JPG
PA00102788,Amphithéâtre gallo-romain de Narbonne011.JPG
PA00104287,Chassenon Thermes Four 2012.jpg
PA00104580,09 NAQ - Charente - Bassac (2017-05-03 11-41-11).jpg
PA00104580,Eglise - Ensemble nord-est - Bassac - Médiathèque de l'architecture et du patrimoine - APMH00000294.jpg
PA00104580,Eglise - Façade ouest - Bassac - Médiathèque de l'architecture et du patrimoine - APMH00000295.jpg
PA00104726,Facade Sud bis (low).jpg
PA00105255,Saintes (17) Maison de la Juridiction Consulaire 201.jpg
PA00105342,Menhir dit La Pierre-Fade - Vue d'ensemble - Availles-Limouzine - Médiathèque de l'architecture et du patrimoine - APMH00004926.jpg
PA00105399,Eglise Notre Dame - Châtellerault.JPG
PA00105406,Eglise Saint-Pierre - Vue intérieure de la nef vers l'entrée - Chaunay - Médiathèque de l'architecture et du patrimoine - APMH00022142.jpg
PA00105406,Eglise Saint-Pierre - Vue intérieure de la nef vers le choeur - Chaunay - Médiathèque de l'architecture et du patrimoine - APMH00022141.jpg
PA00105496,Domaine de la Réauté - Château - Ligugé - Médiathèque de l'architecture et du patrimoine - APMH00006444.jpg
PA00105496,Domaine de la Réauté - Château - Ligugé - Médiathèque de l'architecture et du patrimoine - APMH00006445.jpg
PA00105496,Domaine de la Réauté - Ligugé - Médiathèque de l'architecture et du patrimoine - APMH00009094.jpg
PA00105561,Château de la Tour-de-Naintré à Naintré le 17 juillet 2017.jpg
